Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,310.399994,311.100006,305.250000,309.950012,303.671936,362302
2018-05-15,309.700012,317.350006,305.500000,308.000000,301.761383,877639
2018-05-16,305.000000,305.000000,295.549988,297.899994,291.865997,764405
2018-05-17,298.250000,299.649994,294.549988,295.899994,289.906494,464701
2018-05-18,295.899994,295.899994,284.899994,286.399994,280.598938,546452
2018-05-21,287.500000,293.000000,287.500000,289.649994,283.783081,416007
2018-05-22,288.549988,293.799988,287.000000,290.750000,284.860809,313391
2018-05-23,289.399994,298.200012,288.000000,291.700012,285.791595,408065
2018-05-24,293.000000,299.000000,291.500000,297.250000,291.229156,499677
2018-05-25,297.500000,300.899994,295.000000,296.500000,290.494293,557011
2018-05-28,294.149994,302.250000,293.049988,299.250000,293.188660,643575
2018-05-29,299.000000,300.000000,289.000000,290.649994,284.762848,578232
2018-05-30,287.000000,288.100006,283.100006,285.250000,279.472229,603457
2018-05-31,284.100006,287.899994,279.350006,285.600006,279.815125,798597
2018-06-01,291.049988,299.799988,287.149994,289.500000,283.636139,1317080
2018-06-04,293.750000,294.000000,285.549988,286.200012,280.403015,2639363
2018-06-05,287.500000,289.500000,283.100006,283.899994,278.149567,341788
2018-06-06,284.799988,286.649994,281.200012,283.799988,278.051575,589891
2018-06-07,287.399994,292.700012,286.799988,290.950012,285.056763,618631
2018-06-08,292.000000,292.000000,285.500000,288.299988,282.460480,552714
2018-06-11,285.000000,290.100006,283.200012,286.750000,280.941833,813476
2018-06-12,287.149994,289.149994,285.350006,287.250000,281.431732,914078
2018-06-13,290.000000,292.750000,286.350006,290.799988,284.909790,837243
2018-06-14,291.500000,291.500000,284.149994,284.649994,278.884369,536830
2018-06-15,287.000000,288.500000,280.100006,282.299988,276.581970,628753
2018-06-18,284.950012,293.899994,283.500000,292.500000,286.575409,1265708
2018-06-19,296.549988,296.549988,288.500000,292.000000,286.085480,1343476
2018-06-20,292.000000,294.350006,291.049988,293.250000,287.310150,758667
2018-06-21,293.649994,300.250000,293.649994,297.549988,291.523041,877350
