Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,1386.699951,1398.699951,1377.349976,1380.349976,1290.473145,58273
2018-05-15,1375.000000,1403.300049,1370.099976,1376.099976,1286.500000,95944
2018-05-16,1362.000000,1374.949951,1360.199951,1364.750000,1275.888916,72602
2018-05-17,1366.000000,1375.900024,1352.000000,1364.300049,1275.468384,273314
2018-05-18,1354.000000,1360.000000,1311.949951,1316.050049,1230.359863,237270
2018-05-21,1316.000000,1337.150024,1311.000000,1314.000000,1228.443481,99549
2018-05-22,1313.000000,1339.750000,1313.000000,1319.949951,1234.005981,92976
2018-05-23,1317.000000,1349.800049,1315.099976,1327.199951,1240.783936,115965
2018-05-24,1335.000000,1347.449951,1327.650024,1338.650024,1251.488403,63766
2018-05-25,1341.400024,1347.250000,1333.599976,1343.800049,1256.303101,60105
2018-05-28,1347.050049,1383.800049,1345.050049,1377.599976,1287.902344,139714
2018-05-29,1395.000000,1423.900024,1376.699951,1380.099976,1290.239502,338182
2018-05-30,1380.000000,1380.000000,1357.500000,1365.199951,1276.309692,110043
2018-05-31,1366.050049,1377.150024,1355.099976,1367.599976,1278.553467,655969
2018-06-01,1379.750000,1395.949951,1363.150024,1371.300049,1282.012451,195094
2018-06-04,1378.000000,1385.000000,1355.400024,1360.300049,1271.728760,393099
2018-06-05,1364.000000,1364.000000,1328.599976,1334.000000,1247.141113,76146
2018-06-06,1333.000000,1353.949951,1333.000000,1349.599976,1261.725342,71138
2018-06-07,1354.000000,1364.900024,1349.000000,1354.199951,1266.025757,314454
2018-06-08,1353.000000,1354.750000,1331.349976,1343.599976,1256.116211,110797
2018-06-11,1340.000000,1354.400024,1336.000000,1342.599976,1255.181152,76753
2018-06-12,1350.000000,1366.199951,1344.400024,1363.750000,1274.954102,94393
2018-06-13,1365.000000,1369.800049,1353.000000,1357.150024,1268.784058,57539
2018-06-14,1360.000000,1360.000000,1342.250000,1345.300049,1257.705566,67842
2018-06-15,1340.000000,1345.300049,1323.500000,1328.699951,1242.186157,102901
2018-06-18,1330.000000,1336.699951,1321.000000,1323.150024,1236.997681,58208
2018-06-19,1321.800049,1327.000000,1309.500000,1314.099976,1228.536987,221541
2018-06-20,1310.000000,1318.050049,1300.000000,1307.050049,1221.945923,112411
2018-06-21,1310.000000,1316.349976,1287.000000,1290.300049,1206.286621,193188
2018-06-22,1287.199951,1305.900024,1282.099976,1295.500000,1211.147949,688897
2018-06-25,1307.400024,1307.599976,1265.849976,1269.000000,1186.373413,104067
2018-06-26,1269.000000,1283.500000,1262.150024,1269.500000,1186.840820,167580
2018-06-27,1271.000000,1274.199951,1232.000000,1235.099976,1154.680664,163581
2018-06-28,1234.750000,1240.849976,1205.599976,1236.000000,1155.522095,175711
2018-06-29,1238.000000,1274.800049,1235.000000,1271.300049,1188.523682,129485
2018-07-02,1277.550049,1278.000000,1243.500000,1255.849976,1174.079468,261465
2018-07-03,1260.000000,1263.050049,1246.000000,1252.349976,1170.807495,81807
2018-07-04,1246.099976,1262.449951,1243.949951,1259.400024,1177.398438,138211
2018-07-05,1263.000000,1265.400024,1246.150024,1253.500000,1171.882568,98029
2018-07-06,1252.849976,1277.650024,1245.000000,1266.650024,1184.176392,100875
2018-07-09,1270.300049,1290.000000,1264.000000,1286.500000,1202.733887,254071
2018-07-10,1290.000000,1298.000000,1273.500000,1284.500000,1200.864136,107576
2018-07-11,1292.900024,1292.900024,1272.849976,1275.050049,1192.029419,64444
2018-07-12,1277.050049,1304.500000,1275.150024,1299.750000,1215.121216,158155
2018-07-13,1305.500000,1319.000000,1288.000000,1294.099976,1209.838989,168588
2018-07-16,1298.000000,1300.000000,1278.000000,1282.599976,1199.087891,67904
2018-07-17,1287.949951,1291.750000,1270.650024,1288.050049,1204.182983,73783
2018-07-18,1288.500000,1307.000000,1284.000000,1289.150024,1205.211548,127242
2018-07-19,1289.250000,1294.099976,1252.199951,1255.550049,1173.799072,171691
2018-07-20,1258.849976,1289.000000,1255.000000,1269.349976,1186.700684,208287
2018-07-23,1272.000000,1284.000000,1262.400024,1279.500000,1196.189819,102891
2018-07-24,1287.000000,1325.000000,1282.000000,1322.550049,1236.436768,274667
2018-07-25,1335.000000,1335.000000,1315.500000,1320.050049,1234.099609,142185
2018-07-26,1339.000000,1346.800049,1295.349976,1306.050049,1221.011108,427180
2018-07-27,1307.500000,1319.150024,1301.699951,1311.400024,1226.012695,110133
2018-07-30,1319.000000,1320.000000,1292.000000,1295.800049,1211.428345,107127
2018-07-31,1306.400024,1309.449951,1285.750000,1302.599976,1217.785767,238123
2018-08-01,1308.000000,1309.449951,1294.349976,1297.650024,1213.157959,81408
2018-08-02,1301.900024,1301.900024,1280.099976,1281.800049,1198.340088,660546
2018-08-03,1283.099976,1297.800049,1283.099976,1291.349976,1207.268066,105946
2018-08-06,1290.050049,1298.199951,1286.250000,1291.199951,1207.127930,57683
2018-08-07,1298.099976,1308.000000,1292.449951,1295.650024,1211.288208,91308
2018-08-08,1295.550049,1307.949951,1290.949951,1297.750000,1213.251343,67025
2018-08-09,1300.050049,1304.000000,1284.000000,1286.349976,1202.593750,82650
2018-08-10,1285.000000,1295.550049,1261.000000,1264.900024,1182.540283,177123
2018-08-13,1265.900024,1278.449951,1252.000000,1268.550049,1185.952759,94652
2018-08-14,1266.750000,1266.750000,1250.099976,1253.500000,1186.852173,165451
2018-08-16,1253.900024,1262.500000,1226.050049,1232.949951,1167.394775,172646
2018-08-17,1244.000000,1247.500000,1231.500000,1240.300049,1174.354004,158035
2018-08-20,1300.000000,1331.000000,1281.900024,1323.949951,1253.556274,1090486
2018-08-21,1331.900024,1334.500000,1315.099976,1322.150024,1251.852173,227709
2018-08-23,1326.099976,1363.900024,1320.000000,1352.500000,1280.588379,666874
2018-08-24,1356.000000,1363.599976,1341.000000,1342.800049,1271.404175,306642
2018-08-27,1350.349976,1366.699951,1345.599976,1356.150024,1284.044434,212010
2018-08-28,1360.199951,1366.750000,1352.250000,1355.800049,1283.713013,451279
2018-08-29,1356.000000,1359.800049,1346.250000,1351.400024,1279.546875,123575
2018-08-30,1357.000000,1362.650024,1347.699951,1349.550049,1277.795288,116646
2018-08-31,1353.000000,1373.900024,1350.000000,1369.099976,1296.305664,218196
2018-09-03,1375.000000,1389.000000,1361.500000,1364.300049,1291.761108,183460
2018-09-04,1368.000000,1371.650024,1355.000000,1359.500000,1287.216309,162954
2018-09-05,1359.900024,1363.000000,1341.550049,1348.300049,1276.611816,175740
2018-09-06,1351.300049,1355.699951,1340.000000,1346.599976,1275.002197,122220
2018-09-07,1346.599976,1357.050049,1341.000000,1348.750000,1277.037842,112515
2018-09-10,1351.349976,1352.199951,1336.500000,1339.599976,1268.374268,147016
2018-09-11,1346.949951,1347.849976,1327.199951,1329.900024,1259.189941,128970
2018-09-12,1331.900024,1355.000000,1320.550049,1350.849976,1279.026123,116099
2018-09-14,1355.199951,1365.000000,1352.000000,1358.900024,1286.648193,99522
2018-09-17,1356.000000,1356.000000,1340.500000,1344.250000,1272.777100,84150
2018-09-18,1344.250000,1350.500000,1325.050049,1328.699951,1258.053955,126381
2018-09-19,1336.000000,1344.000000,1327.699951,1332.250000,1261.415283,79847
2018-09-21,1338.650024,1352.000000,1308.699951,1331.750000,1260.941772,216725
2018-09-24,1330.000000,1337.699951,1304.199951,1318.400024,1248.301514,198856
2018-09-25,1318.000000,1332.949951,1308.050049,1318.849976,1248.727539,402337
2018-09-26,1321.050049,1337.650024,1310.500000,1332.699951,1261.841187,138521
2018-09-27,1335.000000,1336.800049,1296.699951,1308.650024,1239.069824,742760
2018-09-28,1312.000000,1317.000000,1250.000000,1266.650024,1199.302979,363806
2018-10-01,1272.099976,1274.800049,1218.000000,1247.449951,1181.123901,326031
2018-10-03,1247.000000,1262.000000,1227.550049,1244.449951,1178.283325,225171
2018-10-04,1260.000000,1293.449951,1252.449951,1259.150024,1192.201904,476542
2018-10-05,1259.500000,1268.750000,1222.000000,1229.300049,1163.938965,320281
2018-10-08,1231.250000,1244.000000,1203.500000,1216.000000,1151.346069,344333
2018-10-09,1225.000000,1236.099976,1215.650024,1221.349976,1156.411621,219592
2018-10-10,1225.150024,1266.000000,1225.150024,1252.349976,1185.763306,297888
2018-10-11,1230.000000,1237.250000,1221.000000,1226.199951,1161.003662,321473
2018-10-12,1222.000000,1244.250000,1218.000000,1234.949951,1169.288452,133925
2018-10-15,1225.599976,1234.900024,1210.000000,1216.949951,1152.245483,140806
2018-10-16,1220.099976,1229.500000,1217.500000,1224.349976,1159.251953,90398
2018-10-17,1233.050049,1240.000000,1208.000000,1211.250000,1146.848755,116613
2018-10-19,1203.000000,1215.150024,1186.000000,1208.150024,1143.913452,140491
2018-10-22,1212.000000,1217.699951,1201.000000,1206.500000,1142.351318,64288
2018-10-23,1198.000000,1209.349976,1183.400024,1197.800049,1134.113892,102702
2018-10-24,1210.050049,1222.000000,1205.099976,1218.849976,1154.044434,85373
2018-10-25,1218.849976,1218.849976,1195.250000,1202.800049,1138.847900,118181
