Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,502.524994,509.850006,500.000000,502.649994,482.845245,604596
2018-07-13,502.000000,502.000000,488.799988,492.424988,473.023071,662862
2018-07-16,492.424988,495.725006,485.325012,487.049988,467.859924,190172
2018-07-17,488.850006,492.500000,484.424988,490.575012,471.245972,121030
2018-07-18,492.500000,498.049988,491.450012,494.774994,475.280518,146770
2018-07-19,495.000000,496.850006,488.625000,491.975006,472.590851,69368
2018-07-20,491.000000,500.725006,490.649994,498.075012,478.450562,165086
2018-07-23,501.500000,504.850006,495.500000,501.524994,481.764587,105622
2018-07-24,502.424988,504.350006,494.500000,496.250000,476.697449,54138
2018-07-25,496.000000,499.950012,480.000000,482.174988,463.176971,356294
2018-07-26,482.500000,484.325012,473.149994,476.225006,457.461365,297574
2018-07-27,480.500000,484.700012,475.399994,481.850006,462.864807,185934
2018-07-30,484.500000,490.625000,472.274994,473.600006,454.939880,296952
2018-07-31,475.000000,483.399994,473.600006,482.399994,463.393127,118830
2018-08-01,484.000000,490.049988,482.600006,489.125000,469.853180,166654
2018-08-02,488.250000,492.000000,480.174988,481.399994,463.379822,121192
2018-08-03,483.000000,485.375000,479.524994,482.725006,464.655273,67134
2018-08-06,484.000000,485.000000,476.500000,478.450012,460.540314,119140
2018-08-07,482.500000,485.325012,480.725006,483.549988,465.449371,81184
2018-08-08,483.774994,484.825012,479.100006,482.450012,464.390594,70834
2018-08-09,483.475006,483.475006,477.924988,478.875000,460.949402,88716
2018-08-10,479.200012,484.000000,478.975006,483.149994,465.064362,69034
2018-08-13,483.000000,492.000000,481.500000,491.375000,472.981445,146256
2018-08-14,495.000000,499.500000,490.000000,498.250000,479.599030,169756
2018-08-16,499.000000,506.625000,496.649994,498.000000,479.358490,170360
2018-08-17,499.500000,503.750000,497.825012,501.725006,482.944061,65320
2018-08-20,502.450012,502.674988,494.299988,495.399994,476.855774,110922
2018-08-21,500.500000,506.725006,499.500000,502.000000,483.208710,498988
2018-08-23,504.500000,513.500000,504.500000,512.349976,493.171326,271940
2018-08-24,515.000000,519.200012,510.500000,511.725006,492.569733,182160
2018-08-27,513.450012,520.000000,512.549988,519.174988,499.740845,140752
2018-08-28,520.000000,522.825012,518.500000,520.400024,500.920044,100256
2018-08-29,520.000000,520.474976,513.549988,516.700012,497.358521,232904
2018-08-30,516.000000,516.025024,506.500000,508.325012,489.296967,106318
2018-08-31,511.950012,527.500000,510.625000,523.224976,503.639191,229520
2018-09-03,525.000000,530.000000,522.174988,524.200012,504.577667,162366
2018-09-04,526.599976,539.500000,526.575012,538.224976,518.077759,353676
2018-09-05,538.950012,542.500000,534.549988,538.325012,518.173950,270980
2018-09-06,538.450012,544.500000,533.125000,543.049988,522.722229,270276
2018-09-07,543.000000,543.000000,533.125000,537.049988,516.946716,72228
2018-09-10,537.500000,547.450012,537.500000,544.799988,524.406555,443864
2018-09-11,545.000000,548.900024,539.549988,541.674988,521.398682,396162
2018-09-12,544.950012,549.000000,541.000000,542.474976,522.168640,129650
2018-09-14,540.025024,544.200012,532.750000,535.200012,515.166016,675594
2018-09-17,532.500000,542.049988,532.500000,539.099976,518.919922,491526
2018-09-18,540.000000,544.474976,538.875000,541.099976,520.845032,82742
2018-09-19,541.000000,549.224976,541.000000,543.674988,523.323669,122370
2018-09-21,546.000000,546.250000,539.575012,542.299988,522.000305,61078
2018-09-24,544.974976,552.500000,540.049988,547.849976,527.342346,207358
2018-09-25,550.000000,562.250000,546.924988,556.224976,535.403992,269266
2018-09-26,558.500000,560.000000,542.650024,544.849976,524.454773,90702
2018-09-27,547.325012,551.849976,543.599976,545.325012,524.911987,141744
2018-09-28,545.500000,549.750000,542.500000,544.049988,523.684631,98826
2018-10-01,542.474976,551.250000,540.525024,549.000000,528.449402,84528
2018-10-03,551.450012,552.349976,537.275024,547.150024,526.668762,68796
